der,Hals,throat; neck
der,Kopf,head
der,Körper,body
der,Magen,stomach
der,Rücken,back
der,Zahn,tooth
das,Gesicht,face
das,Haar,hair
der,Hintern,rear
der,Schmerz,pain
das,Fieber,fever
die,Erkältung,cold (illness)
die,Klinik,clinic
die,Krankheit,sickness
die,Sonnenbrille,sunglasses
der,Arbeiter,worker (m.)
die,Arbeiterin,worker (f.)
der,Bekannte,acquaintance (m.)
die,Bekannte,acquaintance (f.)
der,Engländer,English person (m.)
die,Engländerin,English person (f.)
der,Schweizer,Swiss person (m.)
die,Schweizerin,Swiss person (f.)
der,Teil,part
der,Verwandte,relative (m.)
die,Verwandte,relative (f.)
das,Jahrhundert,century
das,Symbol,symbol
das,Zentrum,center
die,Attraktion,attraction
die,Kreditkarte,credit card
die,Lage,situation; location
die,Natur,nature
die,Schokolade,chocolate
die,Sicherheit,safety; security
die,Sprache,language
die,Umwelt,environment
